topology,activation,baseline,cluster,n_pairs,wins,win_rate,p_raw,p_holm,significant
deep_narrow,aggregation,Xavier_Glorot,0,15,9,0.6,0.05833223239051172,0.816651253467164,False
deep_narrow,aggregation,Xavier_Glorot,1,50,27,0.54,0.34836118515577774,1.0,False
deep_narrow,aggregation,Xavier_Glorot,2,60,27,0.45,0.10594213675833641,1.0,False
deep_narrow,aggregation,He_Kaiming,0,15,3,0.2,0.998321533203125,1.0,False
deep_narrow,aggregation,He_Kaiming,1,50,23,0.46,0.6923715845782277,1.0,False
deep_narrow,aggregation,He_Kaiming,2,60,30,0.5,0.17288677887114218,1.0,False
deep_narrow,aggregation,LeCun,0,15,6,0.4,0.877900734619249,1.0,False
deep_narrow,aggregation,LeCun,1,50,22,0.44,0.9036440409059313,1.0,False
deep_narrow,aggregation,LeCun,2,60,29,0.48333333333333334,0.35782289048081184,1.0,False
deep_narrow,aggregation,Orthogonal,0,15,11,0.7333333333333333,0.023956298828125,0.38330078125,False
deep_narrow,aggregation,Orthogonal,1,50,21,0.42,0.8314552149974941,1.0,False
deep_narrow,aggregation,Orthogonal,2,60,31,0.5166666666666667,0.6351845474331421,1.0,False
deep_narrow,aggregation,FAVI,0,15,11,0.7333333333333333,0.00335693359375,0.05706787109375,False
deep_narrow,aggregation,FAVI,1,50,28,0.56,0.18136149698640663,1.0,False
deep_narrow,aggregation,FAVI,2,60,28,0.4666666666666667,0.28904768001047587,1.0,False
deep_narrow,aggregation,Laor,0,15,11,0.7333333333333333,0.0318603515625,0.4779052734375,False
deep_narrow,aggregation,Laor,1,50,33,0.66,0.002201586948720057,0.039628565076961025,True
deep_narrow,aggregation,Laor,2,60,33,0.55,0.0809146186844607,1.0,False
deep_narrow,linear,Xavier_Glorot,0,15,2,0.13333333333333333,0.9884659678552782,1.0,False
deep_narrow,linear,Xavier_Glorot,1,50,7,0.14,0.9999999688964101,1.0,False
deep_narrow,linear,Xavier_Glorot,2,60,24,0.4,0.8944230065934837,1.0,False
deep_narrow,linear,He_Kaiming,0,15,3,0.2,0.976043701171875,1.0,False
deep_narrow,linear,He_Kaiming,1,50,11,0.22,0.9999874378788144,1.0,False
deep_narrow,linear,He_Kaiming,2,60,27,0.45,0.5551449371239053,1.0,False
deep_narrow,linear,LeCun,0,15,3,0.2,0.98492431640625,1.0,False
deep_narrow,linear,LeCun,1,50,10,0.2,0.9999999818836525,1.0,False
deep_narrow,linear,LeCun,2,60,25,0.4166666666666667,0.8529523287849892,1.0,False
deep_narrow,linear,Orthogonal,0,15,2,0.13333333333333333,0.989227294921875,1.0,False
deep_narrow,linear,Orthogonal,1,50,8,0.16,0.9999997601301834,1.0,False
deep_narrow,linear,Orthogonal,2,60,22,0.36666666666666664,0.8793859772426819,1.0,False
deep_narrow,linear,FAVI,0,15,3,0.2,0.989227294921875,1.0,False
deep_narrow,linear,FAVI,1,50,9,0.18,0.9999996070401447,1.0,False
deep_narrow,linear,FAVI,2,60,23,0.38333333333333336,0.8302544514056454,1.0,False
deep_narrow,linear,Laor,0,15,4,0.26666666666666666,0.9583740234375,1.0,False
deep_narrow,linear,Laor,1,50,18,0.36,0.8682086912874314,1.0,False
deep_narrow,linear,Laor,2,60,29,0.48333333333333334,0.5308841707451291,1.0,False
deep_narrow,rectification,Xavier_Glorot,0,15,3,0.2,0.91558837890625,1.0,False
deep_narrow,rectification,Xavier_Glorot,1,50,21,0.42,0.7825626136882313,1.0,False
deep_narrow,rectification,Xavier_Glorot,2,60,35,0.5833333333333334,0.013271188937354494,0.2123390229976719,False
deep_narrow,rectification,He_Kaiming,0,15,7,0.4666666666666667,0.755645751953125,1.0,False
deep_narrow,rectification,He_Kaiming,1,50,26,0.52,0.3772061709845592,1.0,False
deep_narrow,rectification,He_Kaiming,2,60,33,0.55,0.027883487548036396,0.3903688256725095,False
deep_narrow,rectification,LeCun,0,15,4,0.26666666666666666,0.861572265625,1.0,False
deep_narrow,rectification,LeCun,1,50,20,0.4,0.5396195933088901,1.0,False
deep_narrow,rectification,LeCun,2,60,31,0.5166666666666667,0.052264775640818155,0.6271773076898178,False
deep_narrow,rectification,Orthogonal,0,15,4,0.26666666666666666,0.848602294921875,1.0,False
deep_narrow,rectification,Orthogonal,1,50,19,0.38,0.9807905990647598,1.0,False
deep_narrow,rectification,Orthogonal,2,60,36,0.6,0.020477011404084595,0.30715517106126894,False
deep_narrow,rectification,FAVI,0,15,5,0.3333333333333333,0.9019745182594467,1.0,False
deep_narrow,rectification,FAVI,1,50,23,0.46,0.5573442616227652,1.0,False
deep_narrow,rectification,FAVI,2,60,30,0.5,0.1284356576323844,1.0,False
deep_narrow,rectification,Laor,0,15,12,0.8,0.0318603515625,0.4141845703125,False
deep_narrow,rectification,Laor,1,50,31,0.62,0.0043234216081163394,0.07349816733797777,False
deep_narrow,rectification,Laor,2,60,41,0.6833333333333333,1.935281352839358e-05,0.00034835064351108446,True
deep_narrow,smooth,Xavier_Glorot,0,15,1,0.06666666666666667,0.999847412109375,1.0,False
deep_narrow,smooth,Xavier_Glorot,1,50,20,0.4,0.8903729012026231,1.0,False
deep_narrow,smooth,Xavier_Glorot,2,60,25,0.4166666666666667,0.7296596207425661,1.0,False
deep_narrow,smooth,He_Kaiming,0,15,3,0.2,0.999237060546875,1.0,False
deep_narrow,smooth,He_Kaiming,1,50,32,0.64,0.008008958310151264,0.12814333296242023,False
deep_narrow,smooth,He_Kaiming,2,60,27,0.45,0.3459528728607868,1.0,False
deep_narrow,smooth,LeCun,0,15,1,0.06666666666666667,0.9988352801600828,1.0,False
deep_narrow,smooth,LeCun,1,50,19,0.38,0.9408259130787057,1.0,False
deep_narrow,smooth,LeCun,2,60,26,0.43333333333333335,0.624686734143089,1.0,False
deep_narrow,smooth,Orthogonal,0,15,4,0.26666666666666666,0.99664306640625,1.0,False
deep_narrow,smooth,Orthogonal,1,50,32,0.64,0.03295972519442361,0.46143615272193056,False
deep_narrow,smooth,Orthogonal,2,60,23,0.38333333333333336,0.9318328476328107,1.0,False
deep_narrow,smooth,FAVI,0,15,9,0.6,0.2660235921601431,1.0,False
deep_narrow,smooth,FAVI,1,50,34,0.68,0.004511506359874673,0.07669560811786943,False
deep_narrow,smooth,FAVI,2,60,23,0.38333333333333336,0.9000652585725945,1.0,False
