V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,2
cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,1
Flare,Average,0.0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,2
party,Average,5.0,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,1
cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,1
cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,2
Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,1
Casual,Low,0.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,2
Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,1
Brief,Average,5.0,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,2
Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,1
Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,1
Casual,Average,0.0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,2
Casual,Average,0.0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,2
Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
Casual,Average,5.0,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,1
Casual,Low,0.0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,1
sexy,Low,0.0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,2
Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,1
Casual,Low,5.0,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,1
party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,1
Casual,Average,0.0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,1
Casual,Medium,0.0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,2
Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,2
cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,2
Casual,Medium,0.0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,1
sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,2
work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,1
cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,1
Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
cute,High,0.0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,1
cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,1
cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,2
vintage,Average,0.0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,1
Casual,Average,0.0,L,Winter,open,short,natural,mix,poplin,applique,solid,2
Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,1
Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,1
Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,1
cute,low,5.0,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,1
Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,2
cute,low,0.0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,1
Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,1
Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,2
cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,2
cute,Average,0.0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,1
Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,1
Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,1
Casual,Average,0.0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,2
party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,2
cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,2
Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,1
Novelty,Average,0.0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,1
